item_id,item_price,category_1,category_2,category_3,product_type
26880,4602,11,35,20,3040
54939,3513,12,57,85,6822
40383,825,17,8,279,1619
8777,2355,13,58,189,5264
113705,1267,17,39,151,10239
108843,953,9,9,90,703
129807,18118,16,56,188,2537
44250,17856,16,56,42,9641
49862,2868,7,23,219,842
77042,4032,17,55,58,623
229,2183,13,58,265,3248
77286,8552,7,31,271,6864
31157,1952,10,43,223,3328
107227,4135,16,68,40,4181
47099,4467,9,9,90,7151
95657,377,7,23,137,7233
127016,6854,12,57,171,4036
95953,2067,7,23,149,7203
131809,1267,17,8,113,6936
31202,3552,13,58,47,7387
118202,4026,13,78,134,7631
2066,1075,16,56,17,1008
116586,1728,7,23,149,8836
105684,4320,16,19,213,233
56109,3450,16,4,6,3362
36828,1913,12,57,85,6822
131351,1267,9,37,48,2563
69889,2557,7,23,219,2882
94488,3136,4,38,62,6939
101701,2137,1,64,263,5810
35668,6720,1,42,115,8817
128999,17222,8,40,84,10269
100487,2194,11,35,20,5622
110747,1785,9,44,164,9857
76718,11462,10,43,223,9375
107757,1987,11,70,156,7960
37807,2586,14,62,317,9299
91519,2638,4,38,62,6844
25636,2177,4,38,62,4297
5636,6041,14,62,324,7203
98364,2246,4,38,62,7121
76721,6819,17,8,159,8305
107246,2125,12,57,85,6822
39762,6912,8,41,36,4517
113717,2125,13,78,134,4216
68507,3961,14,62,315,5251
25885,843,7,31,271,6836
67305,2298,13,67,168,734
28468,2764,13,78,205,5604
1547,10246,16,56,93,9641
40044,3974,12,57,85,2494
38939,23040,15,0,214,9196
109074,6330,10,63,295,9337
33600,2298,13,58,265,8834
39332,330,17,39,151,8251
26722,2874,13,58,254,10541
30298,8006,17,8,279,1619
114803,6278,11,51,290,3416
94166,3450,10,43,223,747
87231,2874,12,57,171,3236
90108,4896,12,57,85,1147
124451,4602,13,58,135,2528
48571,2257,17,39,252,1552
95715,10822,11,35,20,4822
99251,2131,11,51,290,5622
47564,2067,7,23,149,1236
27843,7040,11,51,329,7738
35485,2413,13,5,125,10236
92336,10816,1,7,246,2475
31816,5178,12,10,96,5996
71556,3193,17,8,279,9061
21126,2240,13,58,75,10351
66134,4608,0,45,138,4422
128784,569,4,38,62,7121
79049,11712,1,7,246,10083
53714,3072,14,29,199,5835
97401,2010,13,52,163,2802
37678,4572,7,23,219,6661
42250,960,0,45,73,7753
124755,5702,12,57,44,9333
62637,2297,13,78,134,2568
99769,3450,13,58,47,8763
116271,5126,12,57,44,1327
19694,1146,10,43,187,12
75232,1017,14,61,132,2281
122327,1081,4,74,292,5435
105759,12221,17,39,151,10304
95041,1017,12,57,44,1713
